unique_id,metric,AutoNBEATS,AutoNHITS
hotel_0,bias,-0.10721816081796794,-0.09247301584618851
hotel_0,mae,0.1082174491919117,0.1103934482712384
hotel_0,mape,0.14367751888412503,0.14542468590345697
hotel_0,rmse,0.1335032853539008,0.13050019420342326
hotel_105,bias,-0.06763038043223944,-0.07284618705270104
hotel_105,mae,0.07305271915509051,0.07453936543265442
hotel_105,mape,0.0730495750154253,0.07420444972977024
hotel_105,rmse,0.09009574579595535,0.08554008800966652
hotel_112,bias,0.022690819842474782,0.05113801360130309
hotel_112,mae,0.08778492041996547,0.09736460021563939
hotel_112,mape,0.10537042189182874,0.11908346954704689
hotel_112,rmse,0.09933331462927283,0.11194481838773436
hotel_126,bias,-0.009073061644861356,-0.009575720386676105
hotel_126,mae,0.01728062955879934,0.015770535248209278
hotel_126,mape,0.01738159161288368,0.01585921896905077
hotel_126,rmse,0.021054358808027033,0.021034514303944235
hotel_133,bias,-0.01714038807000153,-0.03262253063763611
hotel_133,mae,0.05769319019217123,0.06783843790758969
hotel_133,mape,0.06179641938495673,0.07207200394092758
hotel_133,rmse,0.07013329135721665,0.08096953712189114
hotel_14,bias,-0.03653633273194098,-0.05582272685120367
hotel_14,mae,0.1027168268463361,0.0992137610591004
hotel_14,mape,0.1636574030613764,0.15392633461671607
hotel_14,rmse,0.1216343532011645,0.12509184227366618
hotel_21,bias,-0.02601977063234521,-0.017229037073554186
hotel_21,mae,0.037037181318121615,0.03197630128217123
hotel_21,mape,0.037863797601500146,0.03281700337548134
hotel_21,rmse,0.04575600191156299,0.04239515137333082
hotel_28,bias,-0.044501288156468595,-0.04417802835260296
hotel_28,mae,0.04479147669570964,0.04427416818327314
hotel_28,mape,1.1641872182726587,1.1181699413261865
hotel_28,rmse,0.1423884450526274,0.1416673203635888
hotel_35,bias,-0.06414153746196202,-0.0624679582459586
hotel_35,mae,0.09418182287897382,0.09246675031525749
hotel_35,mape,0.12453931042911139,0.12241249712540915
hotel_35,rmse,0.11748338581746165,0.11499965133148066
hotel_42,bias,-0.15009401392185184,-0.0838912350204792
hotel_42,mae,0.17178151219169688,0.14569250247325422
hotel_42,mape,0.22017921879481664,0.2102700918834122
hotel_42,rmse,0.20784841837641796,0.17554459004366943
hotel_49,bias,-0.018260061201719077,-0.02846828262023605
hotel_49,mae,0.04120073856522125,0.04390614182779511
hotel_49,mape,0.0613671643866393,0.06491580557255368
hotel_49,rmse,0.05187041414160345,0.05409192658632376
hotel_56,bias,-0.04382281927835373,-0.049832994029635466
hotel_56,mae,0.06092256364368256,0.06785043563161576
hotel_56,mape,0.06404468665115619,0.07124884665279306
hotel_56,rmse,0.07568230653499712,0.08054244602026431
hotel_63,bias,-0.04171433743976411,-0.03927695237454914
hotel_63,mae,0.09166809929741752,0.0990330330436192
hotel_63,mape,0.12078451935168492,0.1315066682982111
hotel_63,rmse,0.11351783007095641,0.11433333043270864
hotel_7,bias,0.16361173495768172,0.16847233834129094
hotel_7,mae,0.1642707509667777,0.1711006499601553
hotel_7,mape,0.41773658112346623,0.43064664065480507
hotel_7,rmse,0.20664012284717234,0.2102022544377417
hotel_70,bias,-0.18965341344961248,-0.18879222106141855
hotel_70,mae,0.18965341344961248,0.18879222106141855
hotel_70,mape,0.2931284737830824,0.2906433502594627
hotel_70,rmse,0.2079341576170304,0.20824801744044505
hotel_77,bias,-0.0006764807538794619,-0.0007889869323532496
hotel_77,mae,0.0013485199971390621,0.0011319495305152877
hotel_77,mape,,
hotel_77,rmse,0.001619216924698043,0.0015106701938099084
hotel_84,bias,-0.05950986830037947,-0.04759072961338192
hotel_84,mae,0.11102098267059543,0.1033534773552235
hotel_84,mape,0.12715858863773571,0.11951667288370157
hotel_84,rmse,0.12732777313465898,0.11683256251738176
hotel_91,bias,0.01942012201916923,0.03769857605043231
hotel_91,mae,0.05806837868346066,0.059623529832588916
hotel_91,mape,0.06724076387985818,0.07047373214650823
hotel_91,rmse,0.0702976521782903,0.07490643263793088
hotel_98,bias,-0.03256145050139746,-0.02028262731941065
hotel_98,mae,0.07598608121928256,0.07699816507471871
hotel_98,mape,0.49627100733262614,0.5228723559385295
hotel_98,rmse,0.11326371812373283,0.1102007991398452
