unique_id,ds,AutoNBEATS
hotel_112,2023-07-11,0.93731034
hotel_112,2023-07-12,0.95829153
hotel_112,2023-07-13,0.9396981
hotel_112,2023-07-14,0.9214511
hotel_112,2023-07-15,0.91410667
hotel_112,2023-07-16,0.9044581
hotel_112,2023-07-17,0.9075766
hotel_112,2023-07-18,0.9398253
hotel_112,2023-07-19,0.95557946
hotel_112,2023-07-20,0.94107926
hotel_112,2023-07-21,0.9190755
hotel_112,2023-07-22,0.9113738
hotel_112,2023-07-23,0.91123337
hotel_112,2023-07-24,0.9142612
hotel_112,2023-07-25,0.951741
hotel_112,2023-07-26,0.95848876
hotel_112,2023-07-27,0.9330201
hotel_112,2023-07-28,0.91383106
hotel_126,2023-07-01,1.0058299
hotel_126,2023-07-02,0.9992335
hotel_126,2023-07-03,0.99556
hotel_126,2023-07-04,1.0022951
hotel_126,2023-07-05,0.99997103
hotel_126,2023-07-06,0.97690165
hotel_126,2023-07-07,0.99345
hotel_126,2023-07-08,1.004527
hotel_126,2023-07-09,0.99933213
hotel_126,2023-07-10,0.9855958
hotel_126,2023-07-11,0.9940873
hotel_126,2023-07-12,0.99589986
hotel_126,2023-07-13,0.9699403
hotel_126,2023-07-14,0.9868172
hotel_126,2023-07-15,0.99411607
hotel_126,2023-07-16,1.0019858
hotel_126,2023-07-17,0.98750544
hotel_126,2023-07-18,0.99576825
hotel_126,2023-07-19,0.9917124
hotel_126,2023-07-20,0.9756325
hotel_126,2023-07-21,0.98579943
hotel_126,2023-07-22,0.9891284
hotel_126,2023-07-23,0.991711
hotel_126,2023-07-24,0.9810677
hotel_126,2023-07-25,0.99916744
hotel_126,2023-07-26,0.9828983
hotel_126,2023-07-27,0.97454226
hotel_126,2023-07-28,0.99175173
hotel_133,2023-07-01,0.9854847
hotel_133,2023-07-02,0.9220261
hotel_133,2023-07-03,0.93746763
hotel_133,2023-07-04,0.9669684
hotel_133,2023-07-05,0.96863306
hotel_133,2023-07-06,0.96422565
hotel_133,2023-07-07,0.9822552
hotel_133,2023-07-08,0.98327833
hotel_133,2023-07-09,0.92290324
hotel_133,2023-07-10,0.9309177
hotel_133,2023-07-11,0.9499024
hotel_133,2023-07-12,0.9619279
hotel_133,2023-07-13,0.95465785
hotel_133,2023-07-14,0.9884535
hotel_133,2023-07-15,0.9872874
hotel_133,2023-07-16,0.9211102
hotel_133,2023-07-17,0.9324048
hotel_133,2023-07-18,0.9577582
hotel_133,2023-07-19,0.9547237
hotel_133,2023-07-20,0.9572742
hotel_133,2023-07-21,0.9901763
hotel_133,2023-07-22,0.9814227
hotel_133,2023-07-23,0.9166564
hotel_133,2023-07-24,0.9259596
hotel_133,2023-07-25,0.96513164
hotel_133,2023-07-26,0.94449556
hotel_133,2023-07-27,0.95762986
hotel_133,2023-07-28,0.9897512
hotel_14,2023-07-01,0.5608
hotel_14,2023-07-02,0.48388973
hotel_14,2023-07-03,0.56514436
hotel_14,2023-07-04,0.661988
hotel_14,2023-07-05,0.6627035
hotel_14,2023-07-06,0.6148674
hotel_14,2023-07-07,0.61239827
hotel_14,2023-07-08,0.59888554
hotel_14,2023-07-09,0.5108704
hotel_14,2023-07-10,0.5664724
hotel_14,2023-07-11,0.6544825
hotel_14,2023-07-12,0.6675477
hotel_14,2023-07-13,0.61098
hotel_14,2023-07-14,0.6229396
hotel_14,2023-07-15,0.6090104
hotel_14,2023-07-16,0.5136914
hotel_14,2023-07-17,0.5790114
hotel_14,2023-07-18,0.664565
hotel_14,2023-07-19,0.6863953
hotel_14,2023-07-20,0.6178471
hotel_14,2023-07-21,0.6364663
hotel_14,2023-07-22,0.6197414
hotel_14,2023-07-23,0.51470363
hotel_14,2023-07-24,0.57283306
hotel_14,2023-07-25,0.69145256
hotel_14,2023-07-26,0.68730253
hotel_14,2023-07-27,0.63487065
hotel_14,2023-07-28,0.6433489
hotel_21,2023-07-01,0.95281005
hotel_21,2023-07-02,0.94937646
hotel_21,2023-07-03,0.9358144
hotel_21,2023-07-04,0.9503524
hotel_21,2023-07-05,0.97393894
hotel_21,2023-07-06,0.9562762
hotel_21,2023-07-07,0.95508415
hotel_21,2023-07-08,0.9788414
hotel_21,2023-07-09,0.95565194
hotel_21,2023-07-10,0.9274932
hotel_21,2023-07-11,0.94563925
hotel_21,2023-07-12,0.97073436
hotel_21,2023-07-13,0.95735323
hotel_21,2023-07-14,0.95771366
hotel_21,2023-07-15,0.98199546
hotel_21,2023-07-16,0.9623477
hotel_21,2023-07-17,0.9316963
hotel_21,2023-07-18,0.95426756
hotel_21,2023-07-19,0.9708961
hotel_21,2023-07-20,0.9596061
hotel_21,2023-07-21,0.96061456
hotel_21,2023-07-22,0.97291243
hotel_21,2023-07-23,0.95148706
hotel_21,2023-07-24,0.9295438
hotel_21,2023-07-25,0.9629531
hotel_21,2023-07-26,0.9699283
hotel_21,2023-07-27,0.9544307
hotel_21,2023-07-28,0.96110797
hotel_28,2023-07-01,0.34763587
hotel_28,2023-07-02,0.23558205
hotel_28,2023-07-03,0.13632283
hotel_28,2023-07-04,0.12740964
hotel_28,2023-07-05,0.113408804
hotel_28,2023-07-06,0.17970246
hotel_28,2023-07-07,0.31842098
hotel_28,2023-07-08,0.15830064
hotel_28,2023-07-09,0.07991195
hotel_28,2023-07-10,0.119695574
hotel_28,2023-07-11,0.09181446
hotel_28,2023-07-12,0.09047899
hotel_28,2023-07-13,0.17160529
hotel_28,2023-07-14,0.24349323
hotel_28,2023-07-15,0.16288488
hotel_28,2023-07-16,0.06218633
hotel_28,2023-07-17,0.08556977
hotel_28,2023-07-18,0.05206552
hotel_28,2023-07-19,0.043944836
hotel_28,2023-07-20,0.13136728
hotel_28,2023-07-21,0.21687686
hotel_28,2023-07-22,0.10054274
hotel_28,2023-07-23,0.033789963
hotel_28,2023-07-24,0.096913666
hotel_28,2023-07-25,0.021885231
hotel_28,2023-07-26,0.0134970695
hotel_28,2023-07-27,0.10467789
hotel_28,2023-07-28,0.18914464
hotel_35,2023-07-01,0.6931811
hotel_35,2023-07-02,0.7169447
hotel_35,2023-07-03,0.7742691
hotel_35,2023-07-04,0.79735875
hotel_35,2023-07-05,0.7898077
hotel_35,2023-07-06,0.78220177
hotel_35,2023-07-07,0.7457383
hotel_35,2023-07-08,0.7001518
hotel_35,2023-07-09,0.7295239
hotel_35,2023-07-10,0.76262975
hotel_35,2023-07-11,0.77537143
hotel_35,2023-07-12,0.7832901
hotel_35,2023-07-13,0.7881324
hotel_35,2023-07-14,0.7427539
hotel_35,2023-07-15,0.6990909
hotel_35,2023-07-16,0.71950245
hotel_35,2023-07-17,0.77869666
hotel_35,2023-07-18,0.80031514
hotel_35,2023-07-19,0.79889506
hotel_35,2023-07-20,0.78795326
hotel_35,2023-07-21,0.73627734
hotel_35,2023-07-22,0.70763713
hotel_35,2023-07-23,0.71143126
hotel_35,2023-07-24,0.76728135
hotel_35,2023-07-25,0.81115013
hotel_35,2023-07-26,0.8023371
hotel_35,2023-07-27,0.79412985
hotel_35,2023-07-28,0.75143284
hotel_42,2023-07-01,0.8525298
hotel_42,2023-07-02,0.59587383
hotel_42,2023-07-03,0.6508511
hotel_42,2023-07-04,0.8357772
hotel_42,2023-07-05,0.790357
hotel_42,2023-07-06,0.7060193
hotel_42,2023-07-07,0.81241405
hotel_42,2023-07-08,0.9108274
hotel_42,2023-07-09,0.56964016
hotel_42,2023-07-10,0.6611157
hotel_42,2023-07-11,0.8065776
hotel_42,2023-07-12,0.80830973
hotel_42,2023-07-13,0.68480843
hotel_42,2023-07-14,0.8400932
hotel_42,2023-07-15,0.8927538
hotel_42,2023-07-16,0.5825732
hotel_42,2023-07-17,0.6866655
hotel_42,2023-07-18,0.837278
hotel_42,2023-07-19,0.8189523
hotel_42,2023-07-20,0.6971967
hotel_42,2023-07-21,0.83462894
hotel_42,2023-07-22,0.87504196
hotel_42,2023-07-23,0.623863
hotel_42,2023-07-24,0.64744246
hotel_42,2023-07-25,0.8618776
hotel_42,2023-07-26,0.8206653
hotel_42,2023-07-27,0.7467577
hotel_42,2023-07-28,0.8272573
hotel_49,2023-07-01,0.7038498
hotel_49,2023-07-02,0.6473749
hotel_49,2023-07-03,0.6393739
hotel_49,2023-07-04,0.68159443
hotel_49,2023-07-05,0.6658999
hotel_49,2023-07-06,0.643444
hotel_49,2023-07-07,0.6756504
hotel_49,2023-07-08,0.713123
hotel_49,2023-07-09,0.64945966
hotel_49,2023-07-10,0.6294626
hotel_49,2023-07-11,0.67224175
hotel_49,2023-07-12,0.65731895
hotel_49,2023-07-13,0.61156905
hotel_49,2023-07-14,0.6847355
hotel_49,2023-07-15,0.7185526
hotel_49,2023-07-16,0.6528839
hotel_49,2023-07-17,0.6358677
hotel_49,2023-07-18,0.6812684
hotel_49,2023-07-19,0.6646225
hotel_49,2023-07-20,0.6240396
hotel_49,2023-07-21,0.6925297
hotel_49,2023-07-22,0.7093491
hotel_49,2023-07-23,0.65268344
hotel_49,2023-07-24,0.6379265
hotel_49,2023-07-25,0.7038939
hotel_49,2023-07-26,0.66792816
hotel_49,2023-07-27,0.6336182
hotel_49,2023-07-28,0.6968159
hotel_56,2023-07-01,0.986722
hotel_56,2023-07-02,0.8902344
hotel_56,2023-07-03,0.93876517
hotel_56,2023-07-04,1.0145668
hotel_56,2023-07-05,0.9661953
hotel_56,2023-07-06,0.9292581
hotel_56,2023-07-07,0.98309916
hotel_56,2023-07-08,0.99942094
hotel_56,2023-07-09,0.894039
hotel_56,2023-07-10,0.9276396
hotel_56,2023-07-11,0.9943736
hotel_56,2023-07-12,0.95673335
hotel_56,2023-07-13,0.8948649
hotel_56,2023-07-14,0.9818443
hotel_56,2023-07-15,0.9983411
hotel_56,2023-07-16,0.8925266
hotel_56,2023-07-17,0.94468355
hotel_56,2023-07-18,1.0046213
hotel_56,2023-07-19,0.95718366
hotel_56,2023-07-20,0.9126814
hotel_56,2023-07-21,0.9842955
hotel_56,2023-07-22,0.981532
hotel_56,2023-07-23,0.8810556
hotel_56,2023-07-24,0.9278196
hotel_56,2023-07-25,1.0101637
hotel_56,2023-07-26,0.9462753
hotel_56,2023-07-27,0.9118276
hotel_56,2023-07-28,0.99147844
hotel_63,2023-07-01,0.95517504
hotel_63,2023-07-02,0.7136748
hotel_63,2023-07-03,0.7124162
hotel_63,2023-07-04,0.84402764
hotel_63,2023-07-05,0.8492617
hotel_63,2023-07-06,0.8111402
hotel_63,2023-07-07,0.8945955
hotel_63,2023-07-08,0.97192645
hotel_63,2023-07-09,0.704731
hotel_63,2023-07-10,0.7147219
hotel_63,2023-07-11,0.82676375
hotel_63,2023-07-12,0.8407745
hotel_63,2023-07-13,0.8222187
hotel_63,2023-07-14,0.91016716
hotel_63,2023-07-15,0.9809253
hotel_63,2023-07-16,0.72453314
hotel_63,2023-07-17,0.7175423
hotel_63,2023-07-18,0.83956784
hotel_63,2023-07-19,0.8374677
hotel_63,2023-07-20,0.810165
hotel_63,2023-07-21,0.9009741
hotel_63,2023-07-22,0.9765656
hotel_63,2023-07-23,0.7369773
hotel_63,2023-07-24,0.73020774
hotel_63,2023-07-25,0.84150916
hotel_63,2023-07-26,0.84569275
hotel_63,2023-07-27,0.83561087
hotel_63,2023-07-28,0.90792036
hotel_7,2023-07-01,0.49206161
hotel_7,2023-07-02,0.44277638
hotel_7,2023-07-03,0.40255946
hotel_7,2023-07-04,0.4222059
hotel_7,2023-07-05,0.4910351
hotel_7,2023-07-06,0.5791253
hotel_7,2023-07-07,0.62602115
hotel_7,2023-07-08,0.47192258
hotel_7,2023-07-09,0.4486835
hotel_7,2023-07-10,0.4170776
hotel_7,2023-07-11,0.42220905
hotel_7,2023-07-12,0.5098692
hotel_7,2023-07-13,0.5906885
hotel_7,2023-07-14,0.6279282
hotel_7,2023-07-15,0.47388804
hotel_7,2023-07-16,0.45024234
hotel_7,2023-07-17,0.42997652
hotel_7,2023-07-18,0.42203143
hotel_7,2023-07-19,0.5068259
hotel_7,2023-07-20,0.61657923
hotel_7,2023-07-21,0.63843876
