metric,model,wins
bias,AutoNBEATS,7
bias,AutoNHITS,4
bias,AutoARIMA,3
bias,LightGBM,2
bias,AutoETS,1
bias,Naive,1
bias,SeasonalNaive,1
mae,AutoNBEATS,8
mae,AutoNHITS,5
mae,Naive,4
mae,AutoARIMA,1
mae,LightGBM,1
mape,AutoNBEATS,9
mape,AutoNHITS,5
mape,LightGBM,2
mape,AutoARIMA,1
mape,Naive,1
mape,SeasonalNaive,1
rmse,AutoNHITS,9
rmse,AutoNBEATS,6
rmse,Naive,2
rmse,AutoARIMA,1
rmse,LightGBM,1
