unique_id,metric,LightGBM
hotel_0,bias,0.024600120478508437
hotel_0,mae,0.140418607653226
hotel_0,mape,0.240907336057225
hotel_0,rmse,0.17045050334584544
hotel_105,bias,-0.057966637845325075
hotel_105,mae,0.10283284319755122
hotel_105,mape,0.12142207623075414
hotel_105,rmse,0.12742475741151826
hotel_112,bias,-0.05873866231908233
hotel_112,mae,0.11178976789830344
hotel_112,mape,0.12864195978780626
hotel_112,rmse,0.13254675085961504
hotel_126,bias,-0.046256649976284626
hotel_126,mae,0.06864531509144396
hotel_126,mape,0.07305209853081598
hotel_126,rmse,0.08253866561942974
hotel_133,bias,-0.012234452186968614
hotel_133,mae,0.09843868346466376
hotel_133,mape,0.12749774376435846
hotel_133,rmse,0.11903031420730507
hotel_14,bias,0.02707818392172238
hotel_14,mae,0.08844018784186418
hotel_14,mape,0.14177227212761376
hotel_14,rmse,0.11345219911752302
hotel_21,bias,-0.02201670213321329
hotel_21,mae,0.03979830489264412
hotel_21,mape,0.041957205124339904
hotel_21,rmse,0.04959440589372098
hotel_28,bias,-0.0059964712856050316
hotel_28,mae,0.012398425855487252
hotel_28,mape,0.7715313075615042
hotel_28,rmse,0.03212587395014302
hotel_35,bias,-0.014714396023507232
hotel_35,mae,0.10313247070799644
hotel_35,mape,0.1521752015051159
hotel_35,rmse,0.1302442635816304
hotel_42,bias,-0.004603396502943788
hotel_42,mae,0.19564674242296293
hotel_42,mape,0.3855528587502616
hotel_42,rmse,0.23019234984554923
hotel_49,bias,0.058248452263451635
hotel_49,mae,0.08198163553776044
hotel_49,mape,0.1181552178239526
hotel_49,rmse,0.09788090938226093
hotel_56,bias,-0.02074753539531256
hotel_56,mae,0.06499193214978678
hotel_56,mape,0.07341264130217755
hotel_56,rmse,0.08512076693625809
hotel_63,bias,-0.0046571185886059
hotel_63,mae,0.13433597960254845
hotel_63,mape,0.2085603790874461
hotel_63,rmse,0.16774355914494543
hotel_7,bias,0.07195583441930863
hotel_7,mae,0.15187232067465814
hotel_7,mape,0.39686148765146706
hotel_7,rmse,0.1822884559169638
hotel_70,bias,-0.027273524943720585
hotel_70,mae,0.07596769020180645
hotel_70,mape,0.18058765403328497
hotel_70,rmse,0.09083311085199972
hotel_77,bias,0.0028134211232099687
hotel_77,mae,0.006308257244635523
hotel_77,mape,1.9035718924177887
hotel_77,rmse,0.0075430261525076345
hotel_84,bias,-0.056908389769911714
hotel_84,mae,0.13036650032262467
hotel_84,mape,0.18379813146125137
hotel_84,rmse,0.16088548440610895
hotel_91,bias,-0.04465311828257571
hotel_91,mae,0.15483391517608774
hotel_91,mape,0.20187028613286456
hotel_91,rmse,0.17930351290825683
hotel_98,bias,0.03920399658232103
hotel_98,mae,0.13827281610590897
hotel_98,mape,0.8661671280304282
hotel_98,rmse,0.15787094624280645
